    38/599    0.491G   0.05547   0.01797         0   0.03545  0.007298    0.1162        55       224    0.7534    0.6051    0.6684     0.242    0.0511   0.01108         0
    39/599    0.491G   0.05592   0.01819         0   0.03577  0.007149     0.117        57       224    0.7509    0.6603    0.6604    0.2604   0.05107   0.01039         0
    40/599    0.491G   0.05515   0.01779         0   0.03536  0.007084    0.1154        58       224    0.6861    0.5966    0.6174     0.198   0.05295   0.01102         0
    41/599    0.491G    0.0558   0.01834         0   0.03477  0.007372    0.1163        53       224    0.7978    0.6281     0.683    0.2362    0.0516   0.01079         0
    42/599    0.491G   0.05573   0.01798         0   0.03521   0.00726    0.1162        54       224    0.7921    0.6391    0.6755    0.2403    0.0506   0.01018         0
    43/599    0.491G   0.05518   0.01787         0   0.03592  0.007105    0.1161        57       224    0.7877    0.6301    0.6663    0.2581   0.04999   0.01052         0
    44/599    0.491G   0.05553   0.01819         0   0.03618   0.00713     0.117        57       224    0.7737     0.639    0.6803     0.247   0.05084   0.01074         0
    45/599    0.491G    0.0548   0.01777         0   0.03558  0.007102    0.1153        43       224    0.6973    0.6749    0.6066    0.1854    0.0518   0.01075         0
    46/599    0.491G   0.05463   0.01783         0   0.03486  0.007059    0.1144        55       224    0.7899    0.6624    0.6991    0.2496   0.05059   0.01008         0
    47/599    0.491G   0.05458   0.01815         0   0.03524  0.007106    0.1151        69       224    0.7631    0.6497    0.7067    0.2738   0.05042   0.01039         0
    48/599    0.491G   0.05447   0.01751         0   0.03485  0.007085    0.1139        52       224    0.7146    0.6115    0.6444    0.2414   0.05332   0.01057         0
    49/599    0.491G   0.05402   0.01772         0   0.03405  0.006956    0.1128        49       224    0.7557    0.6895    0.6856    0.2239   0.04979   0.01032         0
    50/599    0.491G   0.05521   0.01768         0   0.03508  0.007175    0.1151        62       224    0.7817    0.6943    0.7207    0.2855   0.04829  0.009982         0
    51/599    0.491G   0.05412   0.01754         0   0.03469  0.007026    0.1134        55       224    0.7362    0.6178    0.6304    0.2118   0.05281   0.01015         0
    52/599    0.491G   0.05396   0.01744         0   0.03454  0.007083     0.113        48       224    0.7487    0.6709    0.6693    0.2201   0.05112   0.01055         0
    53/599    0.491G    0.0538   0.01768         0   0.03432  0.007012    0.1128        42       224    0.7146     0.707     0.675    0.2397   0.04841   0.01116         0
    54/599    0.491G   0.05374   0.01779         0   0.03345  0.006863    0.1118        50       224    0.7653    0.6794    0.6992    0.2264   0.04954   0.01057         0
    55/599    0.491G   0.05364   0.01711         0   0.03405  0.006759    0.1116        46       224    0.7248     0.632    0.6463     0.231   0.05016   0.01038         0
    56/599    0.491G   0.05321   0.01762         0   0.03382  0.006771    0.1114        52       224    0.8088    0.6561    0.7129    0.2763   0.04838   0.01031         0
    57/599    0.491G   0.05445   0.01753         0   0.03466   0.00694    0.1136        48       224    0.7866    0.6815    0.7289    0.2738    0.0486   0.01014         0
    58/599    0.491G   0.05376   0.01673         0   0.03366  0.007126    0.1113        56       224    0.7618    0.6603    0.6921    0.2542   0.04966   0.01028         0
    59/599    0.491G   0.05398   0.01744         0   0.03564  0.007098    0.1142        62       224    0.6803    0.6752    0.6493    0.2464   0.05245   0.01019         0
    60/599    0.491G   0.05281   0.01734         0   0.03416  0.007215    0.1115        73       224    0.7848    0.6581    0.7042    0.2659   0.04945   0.01004         0
    61/599    0.491G   0.05356   0.01793         0   0.03449  0.006872    0.1129        54       224    0.8343    0.6858    0.7391    0.3035   0.04693    0.0101         0
    62/599    0.491G   0.05374   0.01724         0   0.03381  0.007043    0.1118        39       224    0.8169    0.6879    0.7488    0.2839   0.04834  0.009901         0
    63/599    0.491G   0.05322   0.01736         0   0.03346  0.006885    0.1109        69       224    0.7717    0.7197    0.7246     0.281   0.04836   0.01007         0
    64/599    0.491G   0.05372   0.01772         0   0.03364  0.006802    0.1119        58       224    0.7236    0.7176    0.6809    0.2337   0.04844   0.01008         0
    65/599    0.491G   0.05368   0.01739         0   0.03347  0.006658    0.1112        56       224    0.8013    0.6773    0.7371    0.2798   0.04768  0.009991         0
    66/599    0.491G   0.05325   0.01693         0   0.03408  0.006717     0.111        45       224    0.7503    0.7367    0.7412    0.3178   0.04631   0.01002         0
    67/599    0.491G   0.05352   0.01747         0   0.03368  0.007083    0.1118        48       224    0.7004     0.741    0.7113    0.2467   0.04821  0.009791         0
    68/599    0.491G   0.05256   0.01724         0   0.03255  0.006989    0.1093        57       224    0.8193    0.6454    0.7233    0.3057   0.04703   0.01012         0
    69/599    0.491G   0.05283   0.01734         0   0.03366  0.006764    0.1106        57       224    0.7303    0.6752     0.629     0.207   0.05104  0.009801         0
    70/599    0.491G   0.05244   0.01712         0   0.03252  0.006662    0.1087        56       224    0.7266    0.6773    0.6801    0.2348   0.04921   0.01021         0
    71/599    0.491G   0.05296   0.01686         0   0.03323  0.006935      0.11        57       224    0.8474    0.6602    0.7407    0.2846   0.04729  0.009787         0
    72/599    0.491G   0.05328   0.01722         0   0.03274  0.006917    0.1102        52       224    0.7711    0.7154    0.7473     0.306   0.04698  0.009695         0
    73/599    0.491G    0.0534   0.01769         0   0.03273  0.006633    0.1105        49       224    0.7651    0.6921    0.7102    0.2852   0.04898   0.01017         0
    74/599    0.491G   0.05224   0.01705         0   0.03284  0.006648    0.1088        54       224    0.7731    0.6512    0.6751    0.2661   0.04835    0.0103         0
    75/599    0.491G   0.05366   0.01719         0   0.03336  0.006709    0.1109        52       224    0.7695    0.6582      0.68    0.2668   0.04784   0.01142         0
    76/599    0.491G    0.0524   0.01717         0   0.03209  0.006698    0.1084        72       224    0.7646    0.7172    0.7208    0.2592   0.04993   0.01007         0
    77/599    0.491G   0.05204   0.01676         0   0.03233  0.006574    0.1077        69       224    0.7552    0.6877     0.713    0.2888   0.04773   0.01009         0
    78/599    0.491G   0.05247   0.01724         0    0.0327  0.006946    0.1094        43       224    0.7088    0.7346    0.7222     0.299   0.04697  0.009868         0
    79/599    0.491G   0.05297   0.01734         0   0.03378  0.006943     0.111        56       224    0.7118    0.7133    0.6995    0.2536   0.04756   0.01044         0
    80/599    0.491G   0.05205   0.01688         0   0.03264  0.006953    0.1085        55       224    0.7476    0.6728    0.6567     0.235   0.04977  0.009786         0
    81/599    0.491G   0.05274   0.01747         0   0.03241  0.006897    0.1095        62       224     0.793    0.6912    0.7102    0.2851   0.04678   0.00992         0
    82/599    0.491G   0.05224   0.01703         0   0.03208  0.006425    0.1078        58       224    0.8362    0.6938      0.75    0.2836   0.04774   0.01003         0
    83/599    0.491G    0.0518   0.01669         0   0.03156  0.006877    0.1069        52       224    0.7949    0.7407    0.7664    0.3312   0.04679  0.009832         0
    84/599    0.491G   0.05168   0.01685         0   0.03155  0.006566    0.1066        45       224    0.7812    0.6898    0.7248    0.2731   0.04806   0.01026         0
    85/599    0.491G   0.05169   0.01683         0   0.03224  0.006659    0.1074        55       224    0.7348     0.653     0.687    0.2767   0.04739  0.009711         0
    86/599    0.491G   0.05152   0.01687         0   0.03194  0.006616    0.1069        51       224    0.7427    0.7304     0.726    0.2949   0.04582  0.009952         0
    87/599    0.491G   0.05246   0.01705         0   0.03336  0.006602    0.1095        47       224    0.7819     0.724     0.714    0.2515   0.04812   0.01009         0
    88/599    0.491G   0.05218   0.01708         0    0.0327  0.006881    0.1088        73       224     0.812    0.7153    0.7514     0.305   0.04573  0.009965         0
    89/599    0.491G   0.05244   0.01676         0   0.03246  0.006572    0.1082        53       224     0.797    0.6919    0.7444    0.3436   0.04719   0.01053         0
    90/599    0.491G   0.05191   0.01684         0   0.03216  0.006399    0.1073        67       224    0.8428    0.6261    0.7236    0.3173    0.0485  0.009831         0
    91/599    0.491G   0.05115    0.0166         0   0.03196  0.006609    0.1063        60       224    0.7297    0.7473    0.6944    0.2893   0.04667  0.009983         0
